# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.entries.lookupDuration90PMs,1775855931859000000,1775855991879000000,8.0
Indexing.writesQueuedAvg,1775855931859000000,1775855991879000000,0.0
Indexes.entries.lookupDurationMaxMs,1775855931859000000,1775855991879000000,8.0
Indexing.cache.totalCacheMisses,1775855931859000000,1775855991879000000,0
Indexes.stubs.lookups,1775855931859000000,1775855991879000000,0
Indexes.entries.lookupDurationAvgMs,1775855931859000000,1775855991879000000,8.0
Indexing.totalTimeIndexersSleptMs,1775855931859000000,1775855991879000000,0
Indexing.writesQueuedMax,1775855931859000000,1775855991879000000,0
Indexes.allKeys.lookups,1775855931859000000,1775855991879000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1775855931859000000,1775855991879000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1775855931859000000,1775855991879000000,0
Indexes.allKeys.lookupDurationMaxMs,1775855931859000000,1775855991879000000,0.0
IndexesFlusher.totalContentionQuotaSpent,1775855931859000000,1775855991879000000,199
Indexes.stubs.lookupDuration90PMs,1775855931859000000,1775855991879000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1775855931859000000,1775855991879000000,0.0
Indexing.cache.totalCacheAccesses,1775855931859000000,1775855991879000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1775855931859000000,1775855991879000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1775855931859000000,1775855991879000000,0
Indexes.stubs.lookupDurationMaxMs,1775855931859000000,1775855991879000000,0.0
IndexesFlusher.totalFlushingTimeUs,1775855931859000000,1775855991879000000,289765
Indexing.writesQueuedMin,1775855931859000000,1775855991879000000,0
Indexes.entries.lookups,1775855931859000000,1775855991879000000,1
Indexes.allKeys.lookupDuration90PMs,1775855931859000000,1775855991879000000,0.0
Indexes.stubs.lookupDurationAvgMs,1775855931859000000,1775855991879000000,0.0
Indexing.cache.totalCacheEvicted,1775855931859000000,1775855991879000000,0
IndexesFlusher.totalFlushes,1775855931859000000,1775855991879000000,117
IndexesFlusher.totalFlushesRetried,1775855931859000000,1775855991879000000,4
NonBlockingReadAction.failedExecutionsCount,1775855931859000000,1775855991879000000,0
FlushQueue.executionTimeMaxNs,1775855931859000000,1775855991879000000,191889407
