# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.app.storage.content.reader.load.component.ms,1775857173710000000,1775857232760000000,1
workspaceModel.mutableEntityStorage.resolve.ms,1775857173710000000,1775857232760000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1775857173710000000,1775857232760000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1775857173710000000,1775857232760000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1775857173710000000,1775857232760000000,1
workspaceModel.global.updates.count,1775857173710000000,1775857232760000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1775857173710000000,1775857232760000000,0
jps.load.initial.state.ms,1775857173710000000,1775857232760000000,16
workspaceModel.cachedValueWithParameters.clear.count,1775857173710000000,1775857232760000000,0
workspaceModel.init.bridges.ms,1775857173710000000,1775857232760000000,0
workspaceModel.cachedValue.clear.count,1775857173710000000,1775857232760000000,0
workspaceModel.loading.total.ms,1775857173710000000,1775857232760000000,8
workspaceModel.on.before.changed.ms,1775857173710000000,1775857232760000000,0
workspaceModel.update.unloaded.entities.ms,1775857173710000000,1775857232760000000,0
workspaceModel.on.changed.ms,1775857173710000000,1775857232760000000,0
workspaceModel.updates.ms,1775857173710000000,1775857232760000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1775857173710000000,1775857232760000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1775857173710000000,1775857232760000000,3
workspaceModel.updates.count,1775857173710000000,1775857232760000000,0
workspaceModel.cachedValue.from.cache.count,1775857173710000000,1775857232760000000,2
workspaceModel.check.recursive.update.ms,1775857173710000000,1775857232760000000,0
workspaceModel.replace.project.model.ms,1775857173710000000,1775857232760000000,0
workspaceModel.pre.handlers.ms,1775857173710000000,1775857232760000000,0
workspaceModel.cachedValue.calculated.count,1775857173710000000,1775857232760000000,2
workspaceModel.cachedValueWithParameters.from.cache.count,1775857173710000000,1775857232760000000,0
workspaceModel.collect.changes.ms,1775857173710000000,1775857232760000000,0
workspaceModel.cachedValue.total.get.count,1775857173710000000,1775857232760000000,4
workspaceModel.to.snapshot.ms,1775857173710000000,1775857232760000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1775857173710000000,1775857232760000000,0
workspaceModel.initializing.ms,1775857173710000000,1775857232760000000,0
workspaceModel.updates.precise.ms,1775857173710000000,1775857232760000000,0
workspaceModel.loading.from.cache.ms,1775857173710000000,1775857232760000000,2
workspaceModel.full.replace.project.model.ms,1775857173710000000,1775857232760000000,0
DiskQueryRelay.tasksExecuted,1775857173710000000,1775857232760000000,78
writeAction.wait.ms,1775857173710000000,1775857232760000000,1
DiskQueryRelay.taskExecutionTotalTimeUs,1775857173710000000,1775857232760000000,150050
writeAction.max.wait.ms,1775857173710000000,1775857232760000000,1
writeAction.count,1775857173710000000,1775857232760000000,94
DiskQueryRelay.taskWaitingTotalTimeUs,1775857173710000000,1775857232760000000,267201
DiskQueryRelay.tasksRequested,1775857173710000000,1775857232760000000,78
writeAction.median.wait.ms,1775857173710000000,1775857232760000000,0
FilePageCacheLockFree.totalBytesRead,1775857173710000000,1775857232760000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1775857173710000000,1775857232760000000,41943040
FileChannelInterruptsRetryer.totalRetriedAttempts,1775857173710000000,1775857232760000000,0
FilePageCache.capacityInBytes,1775857173710000000,1775857232760000000,503316478
FilePageCacheLockFree.totalNativeBytesReclaimed,1775857173710000000,1775857232760000000,0
FilePageCacheLockFree.totalPagesReadMs,1775857173710000000,1775857232760000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1775857173710000000,1775857232760000000,0
FilePageCache.pageHits,1775857173710000000,1775857232760000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1775857173710000000,1775857232760000000,0
DirectByteBufferAllocator.reclaimed,1775857173710000000,1775857232760000000,43
FilePageCacheLockFree.housekeeperTimeSpentMs,1775857173710000000,1775857232760000000,0
FilePageCacheLockFree.totalPagesHandedOver,1775857173710000000,1775857232760000000,0
DirectByteBufferAllocator.hits,1775857173710000000,1775857232760000000,3
FilePageCache.pageLoads,1775857173710000000,1775857232760000000,175
FilePageCache.uncachedFileAccess,1775857173710000000,1775857232760000000,95
FilePageCacheLockFree.totalPagesWritten,1775857173710000000,1775857232760000000,0
FilePageCacheLockFree.totalPagesWriteMs,1775857173710000000,1775857232760000000,0
FilePageCache.totalPageDisposalsUs,1775857173710000000,1775857232760000000,1586
FilePageCacheLockFree.totalBytesWritten,1775857173710000000,1775857232760000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1775857173710000000,1775857232760000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1775857173710000000,1775857232760000000,41943040
FilePageCache.maxCacheSizeInBytes,1775857173710000000,1775857232760000000,180355072
FilePageCache.pageFastCacheHits,1775857173710000000,1775857232760000000,3455
FilePageCacheLockFree.totalHeapBytesAllocated,1775857173710000000,1775857232760000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1775857173710000000,1775857232760000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1775857173710000000,1775857232760000000,0
FilePageCacheLockFree.totalBytesRequested,1775857173710000000,1775857232760000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1775857173710000000,1775857232760000000,0
FilePageCacheLockFree.heapBytesInUse,1775857173710000000,1775857232760000000,0
DirectByteBufferAllocator.disposed,1775857173710000000,1775857232760000000,132
FilePageCacheLockFree.totalNativeBytesAllocated,1775857173710000000,1775857232760000000,0
FilePageCacheLockFree.nativeBytesInUse,1775857173710000000,1775857232760000000,0
FilePageCache.totalPageLoadsUs,1775857173710000000,1775857232760000000,226090
StorageLockContext.competingThreads.avg,1775857173710000000,1775857232760000000,0.0
FilePageCacheLockFree.totalPagesRequestsMs,1775857173710000000,1775857232760000000,0
FilePageCache.disposedBuffers,1775857173710000000,1775857232760000000,175
FilePageCacheLockFree.totalPagesAllocated,1775857173710000000,1775857232760000000,0
StorageLockContext.competingThreads.90P,1775857173710000000,1775857232760000000,0
StorageLockContext.competingThreads.max,1775857173710000000,1775857232760000000,0
FilePageCacheLockFree.totalPagesReclaimed,1775857173710000000,1775857232760000000,0
FilePageCacheLockFree.totalPagesRequested,1775857173710000000,1775857232760000000,0
FilePageCache.maxRegisteredFiles,1775857173710000000,1775857232760000000,471
DirectByteBufferAllocator.misses,1775857173710000000,1775857232760000000,172
